Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Artwork frame material (product.metafields.shopify.artwork-frame-material),Color (product.metafields.shopify.color-pattern),Frame style (product.metafields.shopify.frame-style),Theme (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
atm,,,,,,,,,16x24,,,Black Oak,,,,,90bs0vrwu2c-s1p-16x24-bl-pok-am,3232.117791672,,continue,manual,190.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/2e33ffa0-4bb0-4e06-a6a6-cf55fc48af58.preview.lg.jpg?v=1766080209,9,"",,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/a5b39ac4-a0c4-406d-a035-8dd4e8199594.preview.lg.jpg?v=1766080209,lb,,,,,,,,,
atm,,,,,,,,,24x36,,,Unframed,,,,,90bs0vrwu2c-s1p-24x36-unf-am,326.631865637,,continue,manual,120.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/a5b39ac4-a0c4-406d-a035-8dd4e8199594.preview.lg.jpg?v=1766080209,lb,,,,,,,,,
atm,,,,,,,,,24x36,,,Natural Oak,,,,,90bs0vrwu2c-s1p-24x36-na-oak-am,6750.633805762,,continue,manual,250.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/a5b39ac4-a0c4-406d-a035-8dd4e8199594.preview.lg.jpg?v=1766080209,lb,,,,,,,,,
atm,,,,,,,,,24x36,,,Black Oak,,,,,90bs0vrwu2c-s1p-24x36-bl-oak-am,6750.633805762,,continue,manual,250.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/a5b39ac4-a0c4-406d-a035-8dd4e8199594.preview.lg.jpg?v=1766080209,lb,,,,,,,,,
austin,Austin Marathon Personalized Race Print,"<p><em>*Disclaimer: This artwork is an independent commemorative piece and is not affiliated with or endorsed by the Austin Marathon.</em></p>
<p>Trackstar's Austin Marathon print is a customizable print featuring your runner's name, official time, pace, and race-day weather.</p>
<p>This thoughtful and beautifully made race print is the best and easiest way to show your runner that you love them.</p>
<p>Each print is personalized with:</p>
<ul class=""nml__editor__content__bullet__list"">
<li class=""nml__editor__content__listItem"">
<p>The runner’s name, bib number, finish time, pace</p>
</li>
<li class=""nml__editor__content__listItem"">
<p>The official race date</p>
</li>
<li class=""nml__editor__content__listItem"">
<p>Actual race-day weather</p>
</li>
<li class=""nml__editor__content__listItem"">
<p>And a beautifully illustrated race course map</p>
</li>
</ul>",Artelo,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork > Prints","","personalized, YGroup_personalized",true,Size,8x10,,Frame,Unframed,,,,,izh7xwgsiux-s1p-8x10-unf-am,96.932689469,,continue,manual,60.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/a02e38b6-deaf-4a74-b746-1a059836c4d7.preview.lg.jpg?v=1771018300,1,"",false,,,500044,,,,,,,,,,,,'58,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/a02e38b6-deaf-4a74-b746-1a059836c4d7.preview.lg.jpg?v=1771018300,lb,,,true,,,true,,,active
austin,,,,,,,,,8x10,,,Natural Oak,,,,,izh7xwgsiux-s1p-8x10-na-oak-am,777.774836839,,continue,manual,85.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/39b96999-7742-498b-aae2-81caee1083b1.preview.lg.jpg?v=1771018300,2,"",,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/a02e38b6-deaf-4a74-b746-1a059836c4d7.preview.lg.jpg?v=1771018300,lb,,,,,,,,,
austin,,,,,,,,,8x10,,,Black Oak,,,,,izh7xwgsiux-s1p-8x10-bl-oak-am,777.774836839,,continue,manual,85.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/48acaa2d-f63e-4cfc-ac04-dfc6f4aa4a80.preview.lg.jpg?v=1771018300,3,"",,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/a02e38b6-deaf-4a74-b746-1a059836c4d7.preview.lg.jpg?v=1771018300,lb,,,,,,,,,
austin,,,,,,,,,12x18,,,Unframed,,,,,izh7xwgsiux-s1p-12x18-unf-am,196.496214684,,continue,manual,80.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/3e65818f-36b2-45b4-a523-d919da3ca5fc.preview.lg.jpg?v=1771018301,4,"",,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/a02e38b6-deaf-4a74-b746-1a059836c4d7.preview.lg.jpg?v=1771018300,lb,,,,,,,,,
austin,,,,,,,,,12x18,,,Natural Oak,,,,,izh7xwgsiux-s1p-12x18-na-pok-am,1846.438460559,,continue,manual,140.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/063790a8-5155-421b-95a4-68c9079ec1b7.preview.lg.jpg?v=1771018301,5,"",,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/a02e38b6-deaf-4a74-b746-1a059836c4d7.preview.lg.jpg?v=1771018300,lb,,,,,,,,,
austin,,,,,,,,,12x18,,,Black Oak,,,,,izh7xwgsiux-s1p-12x18-bl-pok-am,1846.438460559,,continue,manual,140.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/b0b4a5cd-80f5-47df-a3a8-f8cbb6b884a5.preview.lg.jpg?v=1771018301,6,"",,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0662/7151/0811/files/a02e38b6-deaf-4a74-b746-1a059836c4d7.preview.lg.jpg?v=1771018300,lb,,,,,,,,,
